0,0,0,0,0
10,0.000102839431058039,1.69291661889961e-06,1761.24538674545,915879232995.72
20,0.000205666439354278,3.3850361246938e-06,3522.51427034736,1832214238267.54
30,0.000308481028909941,5.07635889218967e-06,5283.8066379837,2749005229173.81
40,0.000411283203745711,6.76688529602368e-06,7045.12247683903,3666252419175.82
50,0.000514072967881738,8.45661571066178e-06,8806.46177410446,4583956021837.85
60,0.000616850325337636,1.01455505103994e-05,10567.8245169777,5502116250827.21
70,0.000719615280132484,1.18336900693617e-05,12329.2106926629,6420733319914.31
80,0.000822367836284826,1.35210347615033e-05,14090.620288371,7339807442972.7
90,0.000925107997812671,1.52075849606088e-05,15852.0532913193,8259338833979.07
100,0.0010278357687335,1.68933410402924e-05,17613.5096887316,9179327707013.38
110,0.00113055115306424,1.85783033739985e-05,19374.9894678386,10099774276258.8
120,0.00123325415482131,2.02624723350011e-05,21136.4926158772,11020678756001.9
130,0.00133594477802059,2.19458482964045e-05,22898.0191200909,11942041360632.6
140,0.00143862302667742,2.36284316311431e-05,24659.5689677298,12863862304644.1
150,0.0015412889048066,2.53102227119813e-05,26421.1421460507,13786141802633.2
160,0.00164394241642243,2.6991221911514e-05,28182.7386423167,14708880069300.1
170,0.00174658356553863,2.86714296021663e-05,29944.3584437976,15632077319448.7
180,0.00184921235616844,3.03508461561938e-05,31706.0015377695,16555733767986.4
190,0.00195182879232453,3.20294719456824e-05,33467.6679115153,17479849629924.2
200,0.00205443287801907,3.37073073425487e-05,35229.3575523243,18404425120376.8
210,0.00215702461726367,3.53843527185399e-05,36991.0704474923,19329460454562.7
220,0.00225960401406943,3.7060608445234e-05,38752.8065843217,20254955847804.1
230,0.00236217107244692,3.87360748940396e-05,40514.5659501214,21180911515527.2
240,0.00246472579640618,4.04107524361961e-05,42276.3485322067,22107327673261.8
250,0.00256726818995671,4.20846414427741e-05,44038.1543178997,23034204536641.9
260,0.00266979825710749,4.3757742284675e-05,45799.9832945287,23961542321405.2
